Qty;Value;Device;Package;Parts;Description;Vendor;Link
1;EH_10_Side;EH_S10B-EH;S10B-EH;CONNECTOR;JST EH Connector, through hole, 10 pin, side entry;rs components;https://se.rs-online.com/web/p/pcb-headers/5151377/
25;ULTIMAKER_PRINTCORE_CONNNECTOR;ULTIMAKER_PRINTCORE_CONNNECTOR;ULTIMAKER_PRINTCORE_CONNECTOR;U$1, U$3;Uses spring fingers 1.8H;mouser;https://www.mouser.se/ProductDetail/TE-Connectivity-AMP/2306654-3?qs=%2Fha2pyFadugVTUuUzm6mP6BE8pClwI3%252BffY1%252BGPN9xVwudoaRJ9nAQ%3D%3D
